# T-001 round 3: tab bar measured on route "/" (Playwright Chromium, isMobile+hasTouch, height 844, clock 2026-09-25T12:00Z UTC,
# root font set on <html> at DOMContentLoaded as verify-clip does). Run 2026-09-25T18:00:56Z.
# "tabs on screen": every #tabbar a box within 0..documentElement.clientWidth horizontally and 0..innerHeight vertically.
# "labels inside own tab": the label's text Range rect lies inside its tab's box AND scrollWidth <= clientWidth, for all five.
# Worktree CSS: .tabbar a { font-size: min(0.62rem, 3.5vw) } only (round 2's below-320px min-width: 0 rule removed).
#
# Summary
# - 320 and 390px, roots 16/24/28/32: all five tabs on screen, labels inside their tabs, every tab >= 52.4x50.4 (>=44x44). Base failed on screen at every root >16.
# - 16px root, 300-390px: tab widths/font identical to base; 320/390 tab bar screenshots pixel-identical (screenshot-compare.txt).
# - Below 320px, roots 16/24: all tabs on screen (base: Review, or Problems+Review, off screen). Labels inside their tabs at every point (same as base).
# - Below 300px some tabs are under 44px wide: 16/24px root Home 35.5 @250, 38.0 @260, 43.0 @280 (base 16px: 39.7/39.7/40.7, with Review off
#   screen at 250/260). 28px@250/260/280 and 32px@280 also have tabs under 44 wide (base had those tabs at 66-75px but Problems+Review off screen).
#   So below 300px the 44px width is WORSE than base for Home at 250/260 (16px root) and at the larger roots; reachability is better.
# - 28px@250 and 32px@250/260: Review past the screen edge. Page content widens the layout viewport (innerWidth 259/280/280, and
#   documentElement.scrollWidth with #tabbar/#railbar/#scrim hidden is also 259/280/280, in base and after alike); the fixed bar spans it.
#   Base at the same points: Problems+Review (and Exams at 250) off screen.

## BASE (HEAD)
root | w   | label fs | tabs on screen | labels inside own tab (overflow) | tab widths H/C/E/P/R | min WxH | >=44x44
16px | 320 | 9.92px   | yes            | yes                          | 59.2/60.6/59.2/69.7/59.2       | 59.2x50.4   | yes
16px | 390 | 9.92px   | yes            | yes                          | 75.6/75.6/75.6/75.6/75.6       | 75.6x50.4   | yes
24px | 250 | 8.75px   | yes            | yes                          | 35.5/54.0/41.1/62.0/45.5       | 35.5x48.6   | NO
24px | 260 | 9.1px    | yes            | yes                          | 38.0/55.9/42.6/64.3/47.2       | 38.0x49.1   | NO
24px | 280 | 9.8px    | yes            | yes                          | 43.0/59.9/45.6/69.0/50.5       | 43.0x50.2   | NO
24px | 300 | 10.5px   | yes            | yes                          | 48.0/64.0/48.6/73.6/53.8       | 48.0x51.3   | yes
24px | 319 | 11.165px | yes            | yes                          | 52.2/67.7/52.2/78.0/57.0       | 52.2x52.3   | yes
24px | 320 | 11.2px   | yes            | yes                          | 52.4/67.9/52.4/78.2/57.1       | 52.4x52.4   | yes
24px | 390 | 13.65px  | yes            | yes                          | 66.5/81.9/66.5/94.5/68.7       | 66.5x56.2   | yes
28px | 250 | 8.75px   | NO Review      | yes                          | 42.7/54.0/42.7/62.0/45.5       | 42.7x48.6   | NO
28px | 260 | 9.1px    | yes            | yes                          | 38.0/55.9/42.6/64.3/47.2       | 38.0x49.1   | NO
28px | 280 | 9.8px    | yes            | yes                          | 43.0/59.9/45.6/69.0/50.5       | 43.0x50.2   | NO
28px | 300 | 10.5px   | yes            | yes                          | 48.0/64.0/48.6/73.6/53.8       | 48.0x51.3   | yes
28px | 319 | 11.165px | yes            | yes                          | 52.2/67.7/52.2/78.0/57.0       | 52.2x52.3   | yes
28px | 320 | 11.2px   | yes            | yes                          | 52.4/67.9/52.4/78.2/57.1       | 52.4x52.4   | yes
28px | 390 | 13.65px  | yes            | yes                          | 66.5/81.9/66.5/94.5/68.7       | 66.5x56.2   | yes
32px | 250 | 8.75px   | NO Review      | yes                          | 50.7/54.0/50.7/62.0/50.7       | 50.7x48.6   | yes
32px | 260 | 9.1px    | NO Review      | yes                          | 49.3/55.9/49.3/64.3/49.3       | 49.3x49.1   | yes
32px | 280 | 9.8px    | yes            | yes                          | 43.0/59.9/45.6/69.0/50.5       | 43.0x50.2   | NO
32px | 300 | 10.5px   | yes            | yes                          | 48.0/64.0/48.6/73.6/53.8       | 48.0x51.3   | yes
32px | 319 | 11.165px | yes            | yes                          | 52.2/67.7/52.2/78.0/57.0       | 52.2x52.3   | yes
32px | 320 | 11.2px   | yes            | yes                          | 52.4/67.9/52.4/78.2/57.1       | 52.4x52.4   | yes
32px | 390 | 13.65px  | yes            | yes                          | 66.5/81.9/66.5/94.5/68.7       | 66.5x56.2   | yes

## page width without the bar at the off-screen points
base 28px@250 {"bw":259,"inner":259,"pageNoBar":259}
base 32px@250 {"bw":280,"inner":280,"pageNoBar":280}
base 32px@260 {"bw":280,"inner":280,"pageNoBar":280}
after 28px@250 {"bw":259,"inner":259,"pageNoBar":259}
after 32px@250 {"bw":280,"inner":280,"pageNoBar":280}
after 32px@260 {"bw":280,"inner":280,"pageNoBar":280}
